symbol,company_name,lat,lon,country,state
SIGI,Erie Insurance Group,42.1539294,-80.0789216,us,Pennsylvania
SIGA,SIGA Technologies,40.7127281,-74.0060152,us,New York
SIFY,Shift Technologies,37.7790262,-122.419906,us,California
SFM,Sprouts Farmers Market,33.675326159007646,-111.96362275735372,us,Arizona
SF,Sterling Financial Corporation,47.6571934,-117.42351,us,Washington
SENEA,Seneca Foods,43.0993,-77.443014,us,New York
SEIC,SEI Investments Company,40.1317722,-75.4596319,us,Pennsylvania
SEDG,SolarEdge,32.1676842,34.83082794429146,il,
SECO,Secoo,39.9057136,116.3912972,cn,
SEAC,SeaChange International,34.48074149999999,-118.1868378638664,us,California
SE,Subsea 7,51.35746445,-0.1736268949695033,gb,England
SDI,Sportradar,47.4250593,9.3765878,ch,Sankt Gallen
SDGR,"Schrödinger, Inc.",40.7127281,-74.0060152,us,New York
SDC,SmileDirectClub,36.1622767,-86.7742984,us,Tennessee
SCKT,AST SpaceMobile,31.9973662,-102.077948,us,
SCHN,Schnitzer Steel,45.5202471,-122.674194,us,Oregon
SBNY,Signature Bank,40.6120637,-74.0597827,us,New York
SBE,Swvl,25.07428235,55.18853865430702,ae,
SBCF,LegacyTexas Bank,33.0136764,-96.6925096,us,Texas
RYAAY,Ryanair,53.4720536,-6.223144166844677,ie,
RWLK,Mazor Robotics,32.505968,34.90621508494272,il,מחוז חיפה
RUTH,Ruth's Hospitality Group,28.5977707,-81.3510264,us,Florida
RTW,Qiwi,35.1748976,33.3638568,cy,
RS,Algoma Steel,46.52391,-84.320068,ca,Ontario
RRGB,BurgerFi,26.1223084,-80.1433786,us,Florida
RMTI,Rockwell Medical,42.5246873,-83.5363637,us,Michigan
RMCF,Rocky Mountain Chocolate Factory,37.2769484,-107.8766,us,Colorado
RMBL,Bumble,30.2711286,-97.7436995,us,
RLGT,Covenant Logistics,35.0457219,-85.3094883,us,Tennessee
RGLS,Regulus Therapeutics,32.7174202,-117.1627728,us,California
RGLD,Royal Gold,39.7392364,-104.984862,us,Colorado
RGEN,Repligen,42.3756401,-71.2358004,us,Massachusetts
REGI,Rent the Runway,40.7127281,-74.0060152,us,New York
REAL,The RealReal,37.7790262,-122.419906,us,California
RDWR,Radware,41.0795325,-74.1594909,us,New Jersey
RDI,Learning Tree International,38.9695316,-77.3859479,us,Virginia
RDFN,Redfin,47.6503869,-122.3066356873096,us,Washington
RDCM,Radcom Ltd,32.0852997,34.7818064,il,
RAIL,FreightCar America,41.8755616,-87.6244212,us,Illinois
RADA,RADA Electronic Industries,32.3286181,34.8566246,il,
QTRX,Merix Corporation,45.4871723,-122.80378,us,Oregon
QRVO,Qorvo,36.0726355,-79.7919754,us,North Carolina
PWFL,PowerFleet,41.0234304,-74.0665297,us,New Jersey
PUYI,Pluri Inc.,32.8191218,34.9983856,il,מחוז חיפה
PTON,Peloton Interactive,40.7127281,-74.0060152,us,New York
PTCT,PTC Therapeutics,40.5792701,-74.4115401,us,New Jersey
PRIM,Primoris Services Corporation,32.7762719,-96.7968559,us,
PRFT,Perficient,38.6280278,-90.1910154,us,Missouri
PRAH,OPKO Health,25.7741728,-80.19362,us,Florida
PPSI,ReNew Power,28.42826235,77.00270014657752,in,Haryana
PPC,Pilgrim's Pride,40.4233142,-104.7091322,us,Colorado
PPBI,Pacific Premier Bancorp,33.6856969,-117.8259819,us,California
PNBK,California First National Bancorp,33.6856969,-117.8259819,us,California
PLUS,ePlus,38.9695316,-77.3859479,us,Virginia
PLG,Metalink Ltd.,32.2485734,34.842087,il,
PLCE,The Children's Place,40.7899291,-74.0566735,us,New Jersey
PLAB,Photronics Inc,41.4825947,-73.4095652,us,
PK,Park Hotels & Resorts,38.9191272,-77.22296360086021,us,Virginia
PII,Polestar,57.7072326,11.9670171,se,
PI,Impinj,47.6038321,-122.330062,us,Washington
PHIO,Phio Pharmaceuticals,42.3459271,-71.5522874,us,Massachusetts
PGTI,Health Insurance Innovations,27.9477595,-82.458444,us,Florida
PGP,Global Sources,22.2793278,114.1628131,cn,
PFBI,Premier Financial,41.3203058,-84.5084835,us,Ohio
PEIX,Pacific City Bank,34.0536909,-118.242766,us,California
PDFS,PDF Solutions,37.2333253,-121.6846349,us,California
PDD,Pinduoduo,31.2323437,121.4691024,cn,
PDCO,Patterson Companies,44.8835768,-93.1382749,us,Minnesota
PCYG,Park City Group,40.7596198,-111.886797,us,Utah
PCH,PotlatchDeltic,47.6571934,-117.42351,us,Washington
PCB,PCSB Bank,41.3973335,-73.6171915,us,New York
PBR,Eletrobras,-22.9110137,-43.2093727,br,Rio de Janeiro
PAYC,Momo (software),39.9057136,116.3912972,cn,
PATI,Pathward,43.5488256,-96.7307737,us,South Dakota
PAG,Gentex (automotive manufacturer),42.8124349,-86.0288167,us,Michigan
PACB,Pacific Biosciences,37.4519671,-122.177992,us,California
PAA,Plains All American Pipeline,29.7589382,-95.3676974,us,
OTTR,Otter Tail Corporation,46.283015,-96.077558,us,Minnesota
OTEX,OpenText,43.4652699,-80.5222961,ca,Ontario
OSPN,OneSpan,41.8755616,-87.6244212,us,Illinois
OSIS,OSI Systems,33.9188589,-118.3483256,us,California
ORMP,Oramed,31.79592425,35.21198075969497,il,
ORAN,Diamond Management & Technology Consultants,41.8755616,-87.6244212,us,Illinois
OPB,Busey Bank,40.1164841,-88.2430932,us,Illinois
ONVO,Organovo,32.7174202,-117.1627728,us,California
ONTO,Westport Innovations,49.2608724,-123.113952,ca,British Columbia
ONCS,ATS Medical,44.9772995,-93.2654692,us,Minnesota
OMEX,Odyssey Marine Exploration,27.9477595,-82.458444,us,Florida
OMCL,Omnicell,32.6992189,-117.1128086,us,California
OMAB,Grupo Aeroportuario Centro Norte,25.6802019,-100.315258,mx,Nuevo León
OESX,Orion Energy Systems,44.0998341,-87.827992,us,Wisconsin
OCC,Optical Cable Corporation,37.270973,-79.9414313,us,Virginia
NXPI,NXP Semiconductors,51.4063404,5.4585347,nl,Noord-Brabant
NX,Beacon Building Products,38.9695316,-77.3859479,us,Virginia
NWS,News Corp,40.75866945,-73.98237558133278,us,New York
NWE,NorthWestern Corporation,43.5488256,-96.7307737,us,South Dakota
NWBI,Northwest Bank,41.8119602,-79.2654452,us,Pennsylvania
NVMI,Nova Measuring Instruments,31.8930644,34.80340932920801,il,
NTN,BuzzFeed,40.6120637,-74.0597827,us,New York
NTLA,Intellia Therapeutics,42.3750997,-71.1056157,us,Massachusetts
NTES,NetEase,30.2489634,120.2052342,cn,
NSSC,Napco Security Technologies,40.6789893,-73.4170673,us,New York
NSIT,Insight Enterprises,33.4255117,-111.9400164,us,Arizona
NSA,Surgical Care Affiliates,42.1711365,-87.8445119,us,Illinois
NRC,National Research Corporation,40.8088861,-96.7077751,us,Nebraska
NOW,EXL Service,40.6120637,-74.0597827,us,New York
NMRD,Nemaura Medical,52.7723859,-1.2077985,gb,England
NICE,NICE Ltd.,32.1861481,34.8675905,il,
NHA,SoundHound,37.2333253,-121.6846349,us,California
NFH,Clover Health,35.925206,-86.8689419,us,Tennessee
NEM,DallasNews Corporation,32.7762719,-96.7968559,us,
NEE,Nexters,34.6852901,33.0332657,cy,Κύπρος
NDLS,Noodles & Company,43.0349931,-87.922497,us,Wisconsin
NDAQ,"Nasdaq, Inc.",40.7097367,-74.01085699585923,us,New York
NCTY,The9,31.2323437,121.4691024,cn,
NCMI,National CineMedia,39.579155,-104.8769227,us,Colorado
NBTB,NBT Bank,42.531184,-75.5235149,us,New York
NATR,Nature's Sunshine Products,40.3881114,-111.8486019,us,Utah
NATH,Nathan's Famous,40.7920441,-73.5398476,us,New York
NAII,Natural Alternatives International,33.1580933,-117.3505966,us,California
MYOV,Roivant Sciences,47.5581077,7.5878261,ch,Basel-Stadt
MYL,Mylan,40.2625702,-80.1872797,us,Pennsylvania
MYGN,Myriad Genetics,40.7596198,-111.886797,us,Utah
MTX,Mindspeed Technologies,33.6170092,-117.9294401,us,California
MTSC,MTS Systems Corporation,44.8546856,-93.470786,us,Minnesota
MTLS,Materialise NV,50.879202,4.7011675,be,Vlaams-Brabant
MTEX,Mannatech,33.0283854,-97.0867203,us,
MSTR,MicroStrategy,38.9191272,-77.22296360086021,us,Virginia
MSFT,Microsemi,33.5761376,-117.7258122,us,California
MRIN,Marin Software,37.7790262,-122.419906,us,California
MRCY,Mercury Systems,42.65717,-71.1408776,us,Massachusetts
MPWR,Monolithic Power Systems,47.646561,-122.1977916,us,Washington
MOD,ModivCare,33.7489924,-84.3902644,us,Georgia
MOBL,MobileIron,37.3893889,-122.0832101,us,California
MNKD,MannKind Corporation,41.394817,-73.4540111,us,
MMYT,MakeMyTrip,28.4646148,77.0299194,in,Haryana
MMI,Merck Millipore,42.5048167,-71.1956111,us,Massachusetts
MITK,Mitel,45.4208777,-75.6901106,ca,Ontario
MGYR,Magyar Bank,40.4862174,-74.4518173,us,New Jersey
MGTA,Maxygen,37.4863239,-122.232523,us,California
MGP,Arrival (company),51.5073359,-0.12765,gb,England
MGI,MoneyGram,32.7762719,-96.7968559,us,
MESA,Mesa Air Group,33.4484367,-112.074141,us,Arizona
MELI,Mercado Libre,-34.9058916,-56.1913095,uy,Montevideo
MEDP,Medpace,39.3397864,-84.2166989,us,Ohio
MDU,GCI (company),61.2163129,-149.894852,us,Alaska
MDIA,Mediacom,41.4092605,-74.1951475,us,New York
MDCA,MDC Partners,40.7127281,-74.0060152,us,New York
MD,Medarex,40.3492744,-74.6592958,us,New Jersey
MCRI,Monday.com,32.0852997,34.7818064,il,מחוז תל אביב
MCBS,Metro City Bank,33.8981579,-84.2832564,us,Georgia
MC,Kelso & Company,40.7127281,-74.0060152,us,New York
MBT,Mobileye,31.79592425,35.21198075969497,il,מחוז ירושלים
MBRX,Molex,41.801159,-88.0747687,us,Illinois
MBNKP,Medivation,37.7790262,-122.419906,us,California
MACK,Merrimack Pharmaceuticals,42.3750997,-71.1056157,us,Massachusetts
LYL,DragonWave,45.4208777,-75.6901106,ca,Ontario
LXRX,Lexicon Pharmaceuticals,30.1734194,-95.504686,us,
LUV,Amyris (company),37.8314089,-122.2865266,us,California
